brand , shipping , price 
GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,Free Shipping,$1.199.99 (2 Offers)–
GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD,Free Shipping,$1.099.99 (2 Offers)–
PELADN AMD Radeon RX 5500XT 8GB GDDR6 PCI Express 4.0 Video Card,Free Shipping,$118.00 –
MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC,Free Shipping,$1.157.69 (7 Offers)–
GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD,Free Shipping,$549.99 –
Peladn Gaming Graphics AMD RX 6500XT 8GB Video Card GDDR6 PCI Express 4.0,Free Shipping,$169.00 –
GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),Free Shipping,$299.99 (4 Offers)–
ASRock STEEL LEGEND Radeon RX 7800 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX7800XT SL 16GO,Free Shipping,$519.99 –
PELADN AMD Radeon RX 6750 XT 12GD6 TAICHI OC  Double Fans PCI Express 4.0 Video Card|192-Bit GDDR6|2560 CUDA Cores Video Card,Free Shipping,$339.00 –
SAPPHIRE Radeon RX 7800 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card 21330-01-20G,Free Shipping,$499.99 (2 Offers)–
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,Free Shipping,$289.99 (10 Offers)–
MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM LIQUID X 24G,$14.62 Shipping,$1.799.99 (4 Offers)–
ASUS Dual NVIDIA GeForce RTX 3060 Ti White OC Edition Graphics Card (PCIe 4.0| 8GB GDDR6X memory| HDMI 2.1| DisplayPort 1.4a| 2-slot design| Axial-tech fan design) DUAL-RTX3060TI-O8GD6X-WHITE,Free Shipping,$329.99 (2 Offers)–
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X 12G OC,Free Shipping,$549.99 –
GIGABYTE Gaming GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070GAMING OC-12GD,Free Shipping,$599.99 (2 Offers)–
PELADN AMD Radeon RX 5600 6GB 192bit GDDR6 PCI Express 4.0 Video Card,Free Shipping,$139.00 –
SAPPHIRE NITRO+ Radeon RX 7800 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11330-01-20G,Free Shipping,$559.99 (4 Offers)–
SAPPHIRE NITRO Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-01-40G,Free Shipping,$1.029.99 (3 Offers)–
ASRock Radeon RX 6700 XT Challenger D Gaming Graphic Card| 12GB GDDR6 VRAM| AMD RDNA2 (RX6700XT CLD 12G),Free Shipping,$319.99 (2 Offers)–
Acer Predator BiFrost Arc A770 Video Card Predator BiFrost Intel Arc A770 OC DP.BKCWW.P02,Free Shipping,$299.99 –
